config_id,strategy,ema_window,signal_window,signal_level,atr_window,sl_atr,rr,direction,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,target_hit
C0037,donchian_breakout,50,96,0.0,14,1.25,1.5,long,1126,0.4404973357015986,1.3682391465184403,-1.342183665932592,-0.14824963842307878,0.8025852789034297,-166.92909286438672,193.18633600122948,False
C0091,donchian_breakout,100,96,0.0,14,1.25,1.5,long,1126,0.4404973357015986,1.3682391465184403,-1.342183665932592,-0.14824963842307878,0.8025852789034297,-166.92909286438672,193.18633600122948,False
C0138,donchian_breakout,200,48,0.0,14,1.75,1.5,both,2645,0.4158790170132325,1.349542229232095,-1.2166170592283252,-0.1494052568440295,0.7897629910088978,-395.176904352458,401.4161251956319,False
C0067,donchian_breakout,100,20,0.0,14,1.75,2.0,long,2036,0.35363457760314343,1.8381455812372676,-1.2373558596944125,-0.14975220671267905,0.8127591966345765,-304.8954928670145,335.36034530660453,False
C0230,rsi_pullback,100,7,30.0,14,1.75,1.5,short,549,0.41712204007285975,1.3103243299074494,-1.1978373649295986,-0.15162784194656753,0.7828281835615728,-83.24368522866557,90.55999462546484,False
C0292,rsi_pullback,200,14,20.0,14,1.75,2.0,short,3,0.3333333333333333,1.854590467642905,-1.1565192005112004,-0.15281597779316533,0.8017983907327892,-0.45844793337949596,1.1719710568450332,False
C0232,rsi_pullback,100,7,30.0,14,1.75,2.0,short,535,0.34579439252336447,1.8147603179063185,-1.1952319466320676,-0.15439350001599003,0.8025475360271356,-82.60052250855466,92.8657966266151,False
C0145,donchian_breakout,200,96,0.0,14,1.25,1.5,long,1104,0.4375,1.3702199809949258,-1.3411007528366607,-0.15489793178534167,0.7946656130277651,-171.0073166910172,188.80288513309637,False
C0033,donchian_breakout,50,48,0.0,14,1.75,2.0,both,2682,0.34638329604772555,1.838042651772428,-1.2140924768072927,-0.15688385098680047,0.802301519785063,-420.76248834659884,434.42784941448747,False
C0087,donchian_breakout,100,48,0.0,14,1.75,2.0,both,2650,0.3460377358490566,1.8386057872697288,-1.2140361637858246,-0.15770685468471413,0.801360205283001,-417.9231649144924,431.5885259823807,False
C0090,donchian_breakout,100,48,0.0,14,1.75,2.5,both,2428,0.29736408566721584,2.3321188709393184,-1.2140359252728274,-0.15953684666279064,0.8129752336327384,-387.3554636972557,399.2242167164998,False
C0036,donchian_breakout,50,48,0.0,14,1.75,2.5,both,2454,0.29706601466992666,2.3318341403393767,-1.2140780856839568,-0.16070807232983708,0.8116886353078947,-394.37760949742017,406.2463625166643,False
C0316,bollinger_reentry,100,20,2.0,14,1.75,2.0,short,2593,0.34516004627844193,1.8082726841329517,-1.2055694500112453,-0.16531155951411608,0.7906004135250099,-428.65287382010297,446.3510265210998,False
C0340,bollinger_reentry,200,20,2.0,14,1.75,2.0,short,2593,0.34516004627844193,1.8082726841329517,-1.2055694500112453,-0.16531155951411608,0.7906004135250099,-428.65287382010297,446.3510265210998,False
C0133,donchian_breakout,200,48,0.0,14,1.25,2.5,long,1389,0.32469402447804174,2.2763199872015885,-1.341182038474254,-0.16660074720009618,0.8160547304847368,-231.4084378609336,242.33611689869073,False
C0281,rsi_pullback,200,7,30.0,14,1.75,2.5,long,819,0.29304029304029305,2.3066506637371003,-1.1935597216065867,-0.1678570445827956,0.8010697832269379,-137.4749195133096,137.93379930142842,False
C0181,rsi_pullback,50,7,30.0,14,1.75,1.5,long,313,0.40894568690095845,1.3274087294453616,-1.2045166543474373,-0.1690966890903183,0.7624828878994052,-52.92726368526963,58.66650575921429,False
